Order : lmp,373,384,[-19.658069133220465;315.4657173409589]
Order : lmp,373,384,[-19.408550030654716;327.24023413946173]
Order : lmp,373,384,[-19.109301301991344;339.2792173259897]
Order : lmp,373,384,[-18.943952710606165;351.29338971710007]
Order : miso,373,384,[-0.8175144617964634;null]
Order : Sample,373,384,[32.8909587789498;-33.467501686841956]
ClearedTrade : 374,384,[32.8909587789498;33.438299023457304]
Order : buyer,374,384,[369.4608390965276;-1.3533234028880852]
Order : lmp,374,384,[-93.03694027018108;35.277781859799184]
Order : lmp,374,384,[-83.86981902791334;41.303297101702974]
Order : lmp,374,384,[-75.84460749152512;47.41204059988602]
Order : lmp,374,384,[-28.85737474084808;71.93498057115407]
Order : lmp,374,384,[-28.251788987943833;83.62312195246405]
Order : lmp,374,384,[-27.627325859507703;95.65752321256996]
Order : lmp,374,384,[-26.985888397883315;108.02253950996347]
Order : lmp,374,384,[-26.038475342202304;119.98366228971686]
